epoch,step,train_acc_step,train_auroc_step,train_loss,val_acc_step,val_auroc_step
0,49,0.5178124904632568,0.515571117401123,0.17833465337753296,,
0,99,0.5071874856948853,0.5191227197647095,0.15376178920269012,,
0,149,0.5037500262260437,0.5132489204406738,0.16947492957115173,,
0,199,0.501953125,0.5093979835510254,0.14577150344848633,,
0,249,0.5062500238418579,0.4993894398212433,0.15693449974060059,,
0,299,0.5039583444595337,0.5037249326705933,0.16346372663974762,,
0,349,0.5035714507102966,0.5035980939865112,0.1614987850189209,,
0,399,0.5021093487739563,0.5053513050079346,0.15953382849693298,,
0,449,0.503784716129303,0.5010850429534912,0.15768688917160034,,
0,499,0.5041875243186951,0.5001690983772278,0.120444156229496,,
0,549,0.5042613744735718,0.5000602006912231,0.1269441545009613,,
0,599,0.5026822686195374,0.5030079483985901,0.1522315889596939,,
0,649,0.5013461709022522,0.5051049590110779,0.1354089230298996,,
0,699,0.5007365942001343,0.5056264400482178,0.13020840287208557,,
0,749,0.500249981880188,0.5058419704437256,0.13603748381137848,,
0,799,0.5006250143051147,0.5044163465499878,0.12741538882255554,,
0,849,0.500275731086731,0.5045704245567322,0.10848147422075272,,
0,899,0.499670147895813,0.5051891803741455,0.11778736114501953,,
0,949,0.49988487362861633,0.5042456388473511,0.1336144655942917,,
0,999,0.4995937645435333,0.5043888092041016,0.12881921231746674,,
0,1049,0.4999702274799347,0.5032427310943604,0.1307627558708191,,
0,1099,0.49965909123420715,0.5035478472709656,0.1261223405599594,,
0,1149,0.5001087188720703,0.5023714303970337,0.11527876555919647,,
,0,,,,0.5000396966934204,0.50239098072052
,1,,,,0.5001322031021118,0.5022028684616089
,2,,,,0.5001717209815979,0.5021209716796875
,3,,,,0.5001979470252991,0.5020656585693359
,4,,,,0.5002241730690002,0.5020111799240112
,5,,,,0.5002371668815613,0.5019835233688354
,6,,,,0.5002106428146362,0.5020344257354736
,7,,,,0.5003156661987305,0.501824140548706
,8,,,,0.5003416538238525,0.5017713308334351
,9,,,,0.5003939270973206,0.5016664266586304
,10,,,,0.500446081161499,0.5015630125999451
,11,,,,0.5005505681037903,0.5013556480407715
,12,,,,0.5006155967712402,0.5012280941009521
,13,,,,0.5006281137466431,0.5012044310569763
,14,,,,0.5006668567657471,0.5011296272277832
,15,,,,0.5005487203598022,0.5013649463653564
,16,,,,0.5005612969398499,0.501340925693512
,17,,,,0.5005086660385132,0.5014469623565674
,18,,,,0.5006124973297119,0.5012439489364624
,19,,,,0.5006640553474426,0.5011449456214905
,20,,,,0.5006244778633118,0.5012260675430298
,21,,,,0.5006759762763977,0.5011283159255981
,22,,,,0.5007793307304382,0.500929057598114
,23,,,,0.5007656812667847,0.5009607076644897
,24,,,,0.5007650256156921,0.5009657740592957
,25,,,,0.5008162260055542,0.5008714199066162
,26,,,,0.5009191036224365,0.5006752014160156
,27,,,,0.500944197177887,0.5006327629089355
,28,,,,0.5009176135063171,0.5006918907165527
,29,,,,0.5009555816650391,0.500623881816864
,30,,,,0.5009418725967407,0.500657320022583
,31,,,,0.5010184645652771,0.5005148649215698
,32,,,,0.5010176301002502,0.5005229711532593
,33,,,,0.501081109046936,0.5004087090492249
,34,,,,0.5011574029922485,0.5002666711807251
,35,,,,0.5012078285217285,0.5001785755157471
,36,,,,0.5012325644493103,0.5001406073570251
,37,,,,0.501167356967926,0.5002773404121399
,38,,,,0.5011664032936096,0.5002862215042114
,39,,,,0.5011142492294312,0.5003975629806519
,40,,,,0.5010749101638794,0.5004820823669434
